"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.00000000,-1.50307571,-1.71848465,8.46317789
0.02007200,-1.15842141,-2.29290849,8.22383462
0.04013400,-1.40733840,-2.37907206,8.70252115
0.06019200,-1.78550076,-2.19717118,9.19556828
0.08025000,-1.73284525,-2.60884160,9.17163395
0.10030700,-1.31160110,-3.45611676,8.82697965
0.12036500,-0.99566799,-3.93959016,8.25255581
0.14042300,-0.79461964,-4.13106477,7.59196840
0.16048100,-0.76111159,-4.35604744,7.15157679
0.18054200,-0.63186622,-4.79165219,6.91223352
0.20059900,-0.51698145,-5.88784434,7.28082215
0.22065700,-0.64143995,-6.41439953,7.16593738
0.24071400,-0.47868653,-7.02233142,7.16593738
0.26077000,-0.47389967,-6.87393860,6.31866222
0.28099600,-0.34944117,-7.64462392,6.35695715
0.30106100,-0.18668775,-8.12809731,6.15112194
0.32111800,-0.42603101,-8.58284952,6.22292492
0.34120700,-0.67973488,-8.90356950,6.12240074
0.36126300,-0.57442384,-8.64507877,5.22725693
0.38132800,-0.51219459,-8.73602921,5.09322470
0.40144700,-0.82812770,-8.91793009,5.53361631
0.42150800,-1.10576589,-9.22428947,5.61499302
0.44156400,-1.55094436,-8.71209488,5.16502768
0.46162400,-1.87645121,-8.65943936,5.94049986
0.48168000,-1.75677957,-9.17163395,5.55276377
0.50173700,-1.35946975,-9.65989422,4.60496444
0.52179400,-1.60838675,-9.54022258,4.74378353
0.54187400,-1.95782792,-9.30566618,5.35650229
0.56193000,-2.31684281,-8.75517667,5.34214170
0.58198600,-2.08707328,-8.99451994,4.63368563
0.60204100,-1.93868045,-9.77956585,4.47571907
0.62210300,-2.08228641,-9.29130559,4.55230892
0.64216500,0.00000000,15.39455887,1.16799514
0.66222600,-2.09664701,-8.83176652,4.57624325
0.68228200,0.00000000,29.75515483,1.16799514
0.70233800,-2.39821953,-8.93707755,4.91132382
0.72239400,-2.65671025,-8.95622501,5.61977989
0.74245500,-2.71415264,-8.60678385,5.18896201
0.76251100,-2.19717118,-8.88442203,4.59539071
0.78256900,-2.04399149,-8.85091398,4.14063850
0.80262600,-2.57533354,-8.54455460,4.80122592
