"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.00000000,-83.71951220,-32.13414634,-25.06097561
0.02007200,-97.50000000,-24.26829268,-31.03658537
0.04013400,-116.95121951,-24.81707317,-40.97560976
0.06019200,-125.54878049,-29.57317073,-38.04878049
0.08025000,-123.90243902,-34.45121951,-27.56097561
0.10030700,-120.54878049,-40.67073171,-19.93902439
0.12036500,-119.39024390,-45.18292683,-17.98780488
0.14042300,-123.04878049,-39.39024390,-15.30487805
0.16048100,-130.79268293,-33.17073171,-10.91463415
0.18054200,-145.18292683,-24.08536585,-4.39024390
0.20059900,-156.28048780,-18.10975610,-3.84146341
0.22065700,-163.90243902,-24.45121951,-6.64634146
0.24071400,-159.08536585,-31.15853659,-6.21951220
0.26077000,-147.50000000,-25.79268293,2.19512195
0.28099600,-130.12195122,-12.80487805,10.97560976
0.30106100,-111.64634146,-6.64634146,16.82926829
0.32111800,-99.14634146,-1.09756098,20.24390244
0.34120700,-85.24390244,0.79268293,22.74390244
0.36126300,-78.35365854,1.76829268,23.78048780
0.38132800,-72.56097561,7.62195122,24.87804878
0.40144700,-57.56097561,19.63414634,30.00000000
0.42150800,-41.70731707,18.04878049,32.68292683
0.44156400,-34.87804878,12.92682927,32.50000000
0.46162400,-21.46341463,11.28048780,41.40243902
0.48168000,0.12195122,2.56097561,50.48780488
0.50173700,0.97560976,-1.82926829,46.03658537
0.52179400,-5.54878049,-3.41463415,37.37804878
0.54187400,0.24390244,-2.74390244,36.95121951
0.56193000,15.12195122,-3.78048780,43.29268293
0.58198600,15.12195122,-6.82926829,46.46341463
0.60204100,5.73170732,-11.89024390,35.91463415
0.62210300,-3.59756098,-13.35365854,27.13414634
0.64216500,0.00000000,0.00000000,0.00000000
0.66222600,14.63414634,-13.71951220,34.75609756
0.68228200,0.00000000,0.00000000,0.00000000
0.70233800,9.14634146,-8.65853659,30.12195122
0.72239400,20.24390244,-10.73170732,33.41463415
0.74245500,36.70731707,-10.97560976,41.46341463
0.76251100,39.39024390,-9.45121951,40.12195122
0.78256900,24.02439024,-4.81707317,27.07317073
0.80262600,7.62195122,1.82926829,14.87804878
0.82268200,6.21951220,2.56097561,13.35365854
0.84274200,20.73170732,-0.60975610,21.15853659
0.86280200,39.14634146,-9.14634146,32.62195122
0.88286000,52.80487805,-16.28048780,38.71951220
0.90291700,48.71951220,-16.03658537,32.80487805
0.92297300,35.54878049,-8.59756098,22.68292683
0.94303900,32.92682927,0.91463415,20.79268293
0.96309700,50.36585366,-1.21951220,30.97560976
0.98315400,76.64634146,-9.20731707,45.73170732
1.00321500,88.84146341,-14.08536585,52.01219512
1.02327300,81.58536585,-15.42682927,47.25609756
1.04333400,68.71951220,-13.23170732,35.85365854
1.06339600,56.21951220,-11.70731707,27.62195122
1.08345500,54.51219512,-12.07317073,24.08536585
1.10351100,59.81707317,-16.46341463,22.98780488
1.12356800,61.82926829,-21.70731707,24.20731707
1.14363000,59.02439024,-18.41463415,26.15853659
1.16368700,61.76829268,-14.87804878,24.39024390
1.18374400,57.86585366,-18.53658537,18.96341463
1.20380000,47.19512195,-22.74390244,10.67073171
1.22385600,37.31707317,-24.08536585,2.86585366
1.24391300,36.15853659,-28.53658537,0.24390244
1.26397400,43.17073171,-33.90243902,4.20731707
1.28403400,55.18292683,-34.08536585,11.28048780
1.30409900,67.13414634,-32.43902439,13.29268293
1.32416800,73.59756098,-37.62195122,10.85365854
1.34425100,70.48780488,-39.93902439,11.95121951
1.36430700,75.54878049,-36.70731707,13.41463415
1.38436300,83.65853659,-31.89024390,10.36585366
1.40442000,84.26829268,-32.37804878,4.69512195
1.42448600,74.63414634,-30.79268293,2.98780488
1.44456100,67.68292683,-26.46341463,3.47560976
1.46461800,73.04878049,-25.54878049,4.14634146
1.48467400,91.34146341,-30.24390244,3.71951220
1.50473000,110.12195122,-34.93902439,-0.30487805
1.52478700,106.52439024,-35.06097561,-0.06097561
1.54486400,85.54878049,-28.41463415,9.39024390
1.56492100,82.13414634,-20.48780488,14.81707317
1.58497900,96.89024390,-20.85365854,17.25609756
1.60503500,112.74390244,-29.08536585,17.19512195
1.62510000,114.81707317,-36.76829268,10.67073171
1.64516200,94.14634146,-33.96341463,7.07317073
1.66522000,82.74390244,-24.81707317,9.81707317
1.68527700,90.36585366,-21.64634146,11.70731707
1.70533300,98.17073171,-24.14634146,8.96341463
1.72539500,99.57317073,-27.25609756,3.41463415
1.74546000,99.45121951,-30.18292683,1.40243902
1.76551700,101.58536585,-25.97560976,7.68292683
1.78557300,115.06097561,-16.82926829,14.57317073
1.80562900,115.67073171,-10.36585366,11.58536585
1.82568400,107.43902439,-12.62195122,2.80487805
1.84576200,104.39024390,-16.09756098,-3.47560976
1.86585700,98.65853659,-16.70731707,-1.82926829
1.88591600,89.26829268,-11.58536585,1.09756098
1.90597300,86.46341463,-6.40243902,-1.03658537
1.92603000,90.67073171,-0.97560976,-5.48780488
1.94609400,92.86585366,-2.68292683,-9.69512195
1.96615500,96.09756098,-10.48780488,-11.58536585
1.98621200,94.14634146,-11.34146341,-9.39024390
2.00631500,89.63414634,-4.14634146,-5.73170732
2.02637200,92.37804878,12.86585366,-2.25609756
2.04644000,103.96341463,24.51219512,-0.48780488
2.06649700,107.92682927,24.39024390,-1.64634146
2.08655400,95.24390244,12.19512195,-7.25609756
2.10666300,76.46341463,-0.91463415,-13.47560976
2.12672800,65.24390244,-1.21951220,-15.36585366
2.14925000,59.32926829,0.97560976,-16.34146341
2.16931500,56.28048780,0.12195122,-17.98780488
2.18937900,54.20731707,-0.54878049,-21.21951220
2.20943700,52.98780488,-0.12195122,-25.91463415
2.22949200,53.90243902,-6.95121951,-28.47560976
2.24955900,51.09756098,-8.84146341,-29.45121951
2.26961400,46.58536585,-2.31707317,-35.97560976
2.28967200,49.63414634,2.37804878,-41.64634146
2.30972800,59.57317073,2.68292683,-39.08536585
2.32979200,61.64634146,-1.89024390,-33.41463415
2.34987800,54.75609756,-2.98780488,-32.31707317
2.36994500,55.00000000,-1.21951220,-36.40243902
2.39000300,51.89024390,-6.21951220,-41.76829268
2.41006000,34.75609756,-14.63414634,-36.82926829
2.43011600,10.36585366,-17.92682927,-29.69512195
2.45021300,-3.71951220,-16.40243902,-26.21951220
2.47027100,-0.48780488,-7.56097561,-27.56097561
2.49032600,11.21951220,-2.50000000,-25.97560976
2.51038200,15.79268293,-6.15853659,-17.01219512
2.53043800,17.43902439,-11.64634146,-7.37804878
2.55050700,12.13414634,-11.34146341,-6.21951220
2.57056400,4.14634146,-7.19512195,-11.46341463
2.59062100,-7.07317073,-4.39024390,-17.74390244
2.61067900,-21.40243902,-8.65853659,-24.08536585
2.63073900,-40.36585366,-15.36585366,-30.24390244
2.65080600,-48.53658537,-25.12195122,-35.06097561
2.67086400,-44.45121951,-30.06097561,-36.89024390
2.69092100,-40.79268293,-21.52439024,-35.24390244
2.71097700,-40.24390244,-6.82926829,-32.62195122
2.73103300,-40.42682927,-0.60975610,-29.08536585
2.75111000,-46.09756098,1.28048780,-27.98780488
2.77117600,-54.69512195,-4.63414634,-29.26829268
2.79123400,-62.56097561,-13.41463415,-31.34146341
2.81129600,-68.29268293,-19.81707317,-32.74390244
2.83135300,-76.15853659,-16.34146341,-34.14634146
2.85142400,-77.68292683,-9.57317073,-33.10975610
2.87148200,-71.28048780,-12.98780488,-28.04878049
2.89153800,-74.93902439,-17.31707317,-24.93902439
2.91159400,-90.73170732,-17.86585366,-27.98780488
2.93165000,-108.71951220,-25.54878049,-32.37804878
2.95171100,-105.60975610,-27.50000000,-34.81707317
2.97177200,-96.52439024,-24.32926829,-33.47560976
2.99183000,-104.08536585,-21.40243902,-34.32926829
