"Time (s)","X (µT)","Y (µT)","Z (µT)"
0.00000000,21.36874962,66.25000000,67.38124847
0.02007200,19.56250000,65.78749847,67.34999847
0.04013400,17.95000076,65.23124695,67.66874695
0.06019200,15.83125019,65.01249695,68.38749695
0.08025000,15.83125019,65.01249695,68.38749695
0.10030700,11.53125000,63.97499847,68.38749695
0.12036500,9.84375000,63.37500000,68.46875000
0.14042300,7.73124981,62.84999847,69.08125305
0.16048100,5.49375010,62.18125153,68.33125305
0.18054200,3.41249990,62.04375076,68.13124847
0.20059900,0.89999998,61.51250076,67.96250153
0.22065700,-1.31250000,61.42499924,66.83750153
0.24071400,-4.02500010,60.93750000,66.19374847
0.26077000,-6.04374981,60.65000153,65.00624847
0.28099600,-8.01875019,60.36875153,64.43750000
0.30106100,-9.73124981,60.65000153,63.15625000
0.32111800,-11.30000019,60.81874847,62.90000153
0.34120700,-12.42500019,60.98125076,61.71250153
0.36126300,-13.26875019,61.32500076,61.65625000
0.38132800,-14.11250019,61.60625076,60.75624847
0.40144700,-15.05624962,61.95624924,60.26250076
0.42150800,-15.64375019,62.26874924,59.59999847
0.44156400,-16.12500000,62.84999847,59.16249847
0.46162400,-16.23125076,63.60625076,58.82500076
0.48168000,-16.45000076,64.03125000,58.39374924
0.50173700,-16.22500038,64.60624695,58.92499924
0.52179400,-15.87500000,64.40000153,58.59999847
0.54187400,-15.91874981,65.06250000,58.95000076
0.56193000,-15.56875038,64.84999847,58.30625153
0.58198600,-15.13749981,65.05000305,58.22499847
0.60204100,-14.72500038,65.46250153,58.41875076
0.62210300,-14.68124962,65.77500153,59.06250000
0.64216500,-14.28125000,65.85624695,59.71875000
0.66222600,-14.02499962,65.51875305,58.52500153
0.68228200,-13.86874962,66.05625153,59.43750000
0.70233800,-13.10624981,66.93750000,59.62500000
0.72239400,-12.85624981,66.56874847,59.71875000
0.74245500,-12.37500000,66.76249695,60.48125076
0.76251100,-11.51875019,67.20625305,60.63750076
0.78256900,-11.03125000,67.26249695,60.51874924
0.80262600,-10.87500000,67.25000000,60.59999847
0.82268200,-10.70625019,67.31874847,60.68750000
0.84274200,-10.39375019,67.91249847,60.93125153
0.86280200,-9.80624962,67.64375305,61.38124847
0.88286000,-8.77499962,67.63749695,61.62500000
0.90291700,-8.28750038,67.48750305,62.06874847
0.92297300,-7.61250019,67.28125000,62.35625076
0.94303900,-7.09375000,67.43125153,62.40625000
0.96309700,-6.23750019,67.75000000,62.82500076
0.98315400,-5.13124990,68.03125000,63.04999924
1.00321500,-3.84375000,68.07499695,63.79999924
1.02327300,-2.40625000,67.95625305,63.95624924
1.04333400,-1.23125005,68.38749695,64.44374847
1.06339600,-0.18750000,67.88124847,64.80000305
1.08345500,0.58749998,67.91249847,65.06874847
1.10351100,1.42499995,67.97499847,65.51875305
1.12356800,2.43125010,67.53125000,65.57499695
1.14363000,3.58750010,67.22499847,66.14375305
1.16368700,4.59999990,67.50000000,66.17500305
1.18374400,5.41874981,66.97499847,66.12500000
1.20380000,6.22499990,66.47499847,66.70625305
1.22385600,7.03125000,66.19374847,66.75000000
1.24391300,7.48124981,66.14375305,66.93125153
1.26397400,7.84999990,65.43125153,67.17500305
1.28403400,8.95625019,64.84375000,67.19374847
1.30409900,9.41250038,64.15000153,67.18125153
1.32416800,10.86874962,63.30625153,66.61250305
1.34425100,11.76249981,62.87500000,67.34999847
1.36430700,12.74374962,62.46875000,68.01875305
1.38436300,14.16874981,61.85625076,68.00000000
1.40442000,16.80624962,61.08124924,67.68750000
1.42448600,16.80624962,61.08124924,67.68750000
1.44456100,18.97500038,60.31250000,67.55000305
1.46461800,20.01250076,59.98125076,67.80625153
1.48467400,21.50625038,59.54999924,67.06874847
1.50473000,22.95624924,58.41249847,66.76875305
1.52478700,24.95000076,58.36875153,66.38124847
1.54486400,26.18750000,57.88124847,66.01875305
1.56492100,27.66875076,57.63124847,65.08125305
1.58497900,28.93124962,57.54999924,65.11875153
1.60503500,30.68750000,56.95000076,64.00000000
1.62510000,32.41875076,56.08750153,63.23749924
1.64516200,33.75000000,55.66875076,62.37500000
1.66522000,35.23125076,55.00000000,61.98749924
1.68527700,36.13124847,55.07500076,60.89374924
1.70533300,37.40000153,54.45000076,60.38750076
1.72539500,38.90625000,53.85625076,59.02500153
1.74546000,40.27500153,53.67499924,58.33750153
1.76551700,41.36875153,53.84375000,57.22499847
1.78557300,42.90625000,52.96250153,55.84375000
1.80562900,44.13750076,52.82500076,54.54375076
1.82568400,45.44374847,52.91875076,53.74375153
1.84576200,46.60625076,52.54375076,52.17499924
1.86585700,48.03125000,52.39374924,50.91875076
1.88591600,48.86249924,52.25624847,49.23749924
1.90597300,49.88124847,51.93750000,48.91249847
1.92603000,50.30625153,52.28749847,47.11249924
1.94609400,51.20624924,52.18125153,46.13124847
1.96615500,52.01250076,52.53125000,44.98125076
1.98621200,52.96250153,52.48749924,43.20624924
2.00631500,53.90000153,52.41249847,42.25000000
2.02637200,54.42499924,52.47499847,40.56250000
2.04644000,55.21875000,52.16875076,38.34375000
2.06649700,55.86249924,52.68125153,37.73125076
2.08655400,56.46875000,53.20000076,36.20624924
2.10666300,56.66875076,53.44374847,35.10625076
2.12672800,57.22499847,53.51874924,33.73749924
2.14925000,57.63124847,54.21250153,31.66875076
2.16931500,58.09999847,54.19374847,30.70000076
2.18937900,58.26250076,55.11875153,30.25625038
2.20943700,58.50000000,55.27500153,28.99374962
2.22949200,58.58750153,55.50000000,28.13750076
2.24955900,58.86875153,56.29999924,27.37500000
