"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.00825095177,32.1119004,118.951987,,,95.9545389,,
0.606674433,32.1119114,118.95206,,,78.75,,
1.21167433,32.111911,118.952079,,,72.421875,,
2.21167433,32.1119132,118.952097,,,73.4765625,,
3.21167493,32.1119177,118.952109,,,76.2890625,,
4.21167588,32.1119222,118.952121,,,81.9140625,,
5.21167553,32.1119269,118.952133,,,79.1015625,,
6.21164548,32.1119321,118.952146,,,80.15625,,
7.21164513,32.111937,118.95216,,,81.5625,,
8.21164572,32.111941,118.952174,,,81.5625,,
9.21164155,32.1119444,118.952188,,,82.265625,,
10.2116391,32.1119467,118.952201,,,83.671875,,
11.2116357,32.1119484,118.952214,,,86.8359375,,
12.2116326,32.1119495,118.952228,,,88.59375,,
13.2116301,32.1119498,118.952241,,,88.5937569,,
14.2116274,32.1119517,118.952255,,,85.7812572,,
15.2116272,32.1119549,118.952268,,,80.1562572,,
16.2116262,32.1119585,118.952282,,,78.0468827,,
17.2116246,32.1119611,118.952295,,,79.4531327,,
18.2116226,32.1119625,118.952306,,,81.5625069,,
19.2116215,32.1119644,118.952318,,,80.8593819,,
20.2116201,32.1119662,118.952332,,,81.2109445,,
21.2116188,32.1119685,118.952348,,,81.2109454,,
22.2116172,32.1119714,118.952361,,,79.8046953,,
23.2116166,32.1119727,118.952372,,,80.8593822,,
24.2116152,32.1119737,118.952384,,,81.9140694,,
25.2116149,32.1119736,118.952398,,,85.7812569,,
26.2116135,32.1119742,118.952415,,,85.4296955,,
27.2116132,32.1119744,118.952429,,,86.1328205,,
28.2116126,32.111974,118.95244,,,87.5390697,,
29.2116126,32.111973,118.952453,,,90.3515697,,
30.2116113,32.1119725,118.952466,,,91.7578197,,
31.2116108,32.111972,118.952482,,,92.4609457,,
32.2116114,32.1119716,118.952496,,,91.7578207,,
33.2116112,32.1119726,118.952509,,,90.0000081,,
34.2116142,32.1119632,118.952544,,,88.2390002,,
35.2116121,32.111964,118.952556,,,89.351867,,
36.2116098,32.1119627,118.95257,,,87.3328544,,
37.2116096,32.1119618,118.952585,,,90.3652966,,
38.2116094,32.1119611,118.952596,,,92.4565183,,
39.2116096,32.1119623,118.952609,,,88.5417077,,
40.2116094,32.1119639,118.952624,,,86.9110113,,
41.2116091,32.1119691,118.952636,,,79.35667,,
42.2116094,32.111972,118.952647,,,76.1237799,,
43.2116087,32.1119733,118.952659,,,78.6573332,,
44.2116098,32.1119725,118.952674,,,86.3075466,,
45.2116091,32.1119733,118.95269,,,88.3482694,,
46.2116096,32.1119743,118.952703,,,86.7144266,,
47.2116097,32.1119755,118.952713,,,85.4818013,,
48.2116094,32.1119765,118.952725,,,86.2646667,,
49.2116094,32.1119787,118.952737,,,84.5469998,,
50.2116095,32.1119801,118.95275,,,83.3238222,,
51.2116094,32.1119845,118.952761,,,76.4651738,,
52.2116107,32.1119871,118.952775,,,77.2533577,,
53.2116097,32.1119917,118.952789,,,73.5863637,,
54.2116128,32.111994,118.952804,,,74.3120299,,
55.2116102,32.1119953,118.952816,,,77.6996947,,
56.2116108,32.1119975,118.952829,,,79.1262715,,
57.2116112,32.1119975,118.952839,,,83.6896167,,
58.2116119,32.1119979,118.952853,,,86.4957415,,
59.2116115,32.1119982,118.952851,,,95.568433,,
60.2116119,32.1119969,118.952863,,,96.264633,,
61.2116122,32.1119973,118.952861,,,98.2072191,,
62.2116118,32.1119952,118.952875,,,98.6212794,,
63.2116147,32.1119954,118.952874,,,100.30092,,
64.2116133,32.1119932,118.952886,,,100.155407,,
65.2116133,32.1119933,118.952884,,,97.7341751,,
66.2116132,32.1119915,118.952898,,,97.8513194,,
67.2116135,32.1119914,118.952896,,,93.8237897,,
68.2116137,32.1119903,118.95291,,,94.2055893,,
69.2116138,32.1119904,118.952909,,,97.5634433,,
70.2116145,32.1119886,118.952922,,,97.7787998,,
71.2116146,32.111989,118.952921,,,97.9039861,,
72.2116182,32.1119868,118.952934,,,99.388217,,
73.2116158,32.1119877,118.952932,,,105.038091,,
74.2116158,32.1119842,118.952945,,,104.969367,,
75.2116168,32.1119842,118.952944,,,105.680773,,
76.2116163,32.1119811,118.952958,,,102.921706,,
77.2116165,32.1119808,118.952956,,,92.5653101,,
78.2116176,32.1119801,118.95297,,,92.6595876,,
79.211618,32.1119803,118.952969,,,93.2076606,,
80.211618,32.1119795,118.952983,,,93.307487,,
81.2116185,32.1119795,118.952982,,,94.483064,,
82.2116189,32.1119785,118.952995,,,94.4499044,,
83.2116194,32.1119786,118.952994,,,93.8845389,,
84.2116189,32.1119776,118.953008,,,94.2469376,,
85.2116201,32.1119776,118.953007,,,94.0358843,,
86.2116202,32.1119766,118.953021,,,93.9375983,,
87.2116212,32.1119766,118.953021,,,93.935656,,
88.2116207,32.1119757,118.953035,,,93.8802114,,
89.2116211,32.1119756,118.953035,,,95.2135159,,
90.211622,32.1119746,118.953048,,,94.5943717,,
91.2116222,32.1119754,118.953047,,,90.5277484,,
92.2116225,32.1119734,118.953061,,,95.9482517,,
93.2116228,32.111973,118.953061,,,92.5695612,,
94.211623,32.1119722,118.953074,,,93.1017317,,
95.2116235,32.1119723,118.953074,,,97.0139138,,
96.2116238,32.1119706,118.953087,,,97.2216527,,
97.2116239,32.1119704,118.953086,,,93.5299944,,
98.2116245,32.1119698,118.9531,,,92.7624563,,
99.2116253,32.1119703,118.953098,,,98.2477954,,
100.211625,32.1119683,118.953113,,,97.9084378,,
101.211625,32.1119681,118.953112,,,94.6748962,,
102.211626,32.111967,118.953126,,,94.6314672,,
103.211627,32.1119671,118.953125,,,98.134578,,
104.211627,32.1119651,118.953139,,,98.3434435,,
105.211627,32.1119651,118.953139,,,99.7527534,,
106.211628,32.1119629,118.953152,,,99.3045995,,
107.211627,32.1119623,118.953152,,,94.7462271,,
108.211628,32.1119618,118.953165,,,92.9692618,,
109.211629,32.1119635,118.953156,,,104.317078,,
110.211629,32.1119601,118.953171,,,103.402227,,
111.211629,32.1119599,118.95317,,,91.6614715,,
112.21163,32.1119599,118.953184,,,90.2268992,,
113.21163,32.1119596,118.953183,,,86.3098856,,
114.21163,32.1119607,118.9532,,,86.2261482,,
115.21163,32.1119608,118.953198,,,86.326067,,
116.211632,32.1119616,118.953215,,,87.058694,,
117.211632,32.1119601,118.953213,,,82.9558486,,
118.211632,32.1119636,118.95323,,,79.6397548,,
119.211635,32.1119609,118.95323,,,60.9242365,,
120.211633,32.111969,118.953244,,,60.4249091,,
121.211633,32.1119687,118.953244,,,64.6429385,,
122.211633,32.1119752,118.953256,,,62.3330063,,
123.211634,32.1119742,118.953256,,,47.3426182,,
124.211634,32.1119843,118.953266,,,46.0767522,,
125.211634,32.1119835,118.953265,,,45.3694883,,
126.211635,32.1119943,118.953276,,,45.0200538,,
127.211636,32.1119932,118.953276,,,38.602604,,
128.211636,32.1120054,118.953285,,,36.9025531,,
129.211636,32.1120047,118.953285,,,29.2415797,,
130.211636,32.1120173,118.953292,,,30.6234465,,
131.211637,32.1120163,118.953292,,,28.2202946,,
132.21159,32.1120301,118.953299,,,26.3497416,,
133.211589,32.1120292,118.953299,,,13.5702872,,
134.211589,32.1120446,118.953303,,,12.2006592,,
135.211591,32.1120438,118.953303,,,6.97346422,,
136.211589,32.1120589,118.953305,,,7.35525254,,
137.211585,32.1120582,118.953304,,,13.2159395,,
138.211584,32.1120725,118.953307,,,12.8638213,,
139.211583,32.1120728,118.953307,,,10.3305277,,
140.21158,32.1120868,118.95331,,,9.97180207,,
141.211582,32.1120854,118.95331,,,8.60740526,,
142.211583,32.1121002,118.953312,,,8.7654452,,
143.211584,32.1120991,118.953312,,,10.1217818,,
144.211585,32.1121138,118.953314,,,10.7605923,,
145.211585,32.112115,118.953315,,,13.077607,,
146.211586,32.1121271,118.953317,,,13.1000703,,
147.211586,32.1121189,118.953316,,,11.2713363,,
148.211587,32.1121329,118.953318,,,11.242789,,
149.211588,32.1121326,118.953318,,,8.35383343,,
150.211589,32.1121455,118.95332,,,7.29303384,,
151.211589,32.1121456,118.95332,,,6.53707898,,
152.21159,32.1121594,118.953322,,,6.73116299,,
153.21159,32.1121576,118.953322,,,5.50689033,,
154.211591,32.1121728,118.953323,,,6.11189252,,
155.211591,32.1121725,118.953323,,,10.8458029,,
156.211592,32.1121865,118.953325,,,10.3003739,,
157.211592,32.1121849,118.953325,,,10.9204223,,
158.211594,32.1122,118.953328,,,10.6917384,,
159.211593,32.1121991,118.953328,,,9.38131033,,
160.211594,32.1122128,118.95333,,,9.01020503,,
161.211594,32.1122125,118.95333,,,9.72608577,,
162.211595,32.1122262,118.953332,,,10.1825548,,
163.211597,32.1122251,118.953332,,,10.4559786,,
164.211596,32.1122386,118.953335,,,10.6463586,,
165.211596,32.1122382,118.953334,,,11.5249459,,
166.211597,32.1122518,118.953337,,,11.4326662,,
167.211597,32.1122504,118.953337,,,8.30140599,,
168.211598,32.1122648,118.953339,,,8.45173852,,
169.211598,32.1122638,118.95334,,,4.63715586,,
170.211599,32.112279,118.953341,,,3.73888522,,
171.211599,32.1122784,118.953341,,,1.44336621,,
172.2116,32.112293,118.953341,,,1.79645628,,
173.2116,32.1122935,118.953341,,,359.728618,,
174.2116,32.1123063,118.953341,,,1.08794401,,
175.211601,32.112305,118.953341,,,13.1109485,,
176.211602,32.1123189,118.953344,,,13.572191,,
177.211602,32.1123187,118.953344,,,11.9662687,,
178.211603,32.1123321,118.953347,,,11.988988,,
179.211603,32.1123315,118.953347,,,6.8161818,,
180.211603,32.1123454,118.953349,,,7.0455657,,
181.211604,32.1123433,118.953349,,,9.12256954,,
182.211604,32.1123579,118.953351,,,9.33332425,,
183.211605,32.112357,118.953351,,,8.01690879,,
184.211605,32.1123711,118.953353,,,8.68782524,,
185.211605,32.1123697,118.953353,,,10.7820984,,
186.211606,32.112384,118.953355,,,10.5225232,,
187.211606,32.112383,118.953355,,,11.599126,,
188.211607,32.112397,118.953358,,,11.4782284,,
189.211607,32.112397,118.953358,,,9.50716804,,
190.211608,32.1124102,118.95336,,,8.52659325,,
