"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.03545899E+01,-2423,3680,-2236
6.03747069E+01,-2521,3678,-2106
6.03948239E+01,-2632,3717,-1953
6.04149409E+01,-2732,3724,-1804
6.04350589E+01,-2831,3751,-1656
6.04551759E+01,-2924,3772,-1513
6.04752929E+01,-3013,3746,-1351
6.04954099E+01,-3097,3796,-1202
6.05155269E+01,-3160,3798,-1077
6.05356439E+01,-3247,3808,-910
6.05557609E+01,-3306,3784,-762
6.05758779E+01,-3382,3775,-619
6.05959949E+01,-3429,3778,-619
6.06161119E+01,-3429,3778,-487
6.06362289E+01,-3474,3760,-356
6.06563459E+01,-3533,3776,-214
6.06764629E+01,-3571,3773,-78
6.06965803E+01,-3615,3754,46
6.07166973E+01,-3644,3754,170
6.07368143E+01,-3654,3760,257
6.07569313E+01,-3682,3761,367
6.07770483E+01,-3715,3753,454
6.07971653E+01,-3731,3745,532
6.08172823E+01,-3747,3710,612
6.08373993E+01,-3759,3684,689
6.08575163E+01,-3791,3696,739
6.08776333E+01,-3806,3692,804
6.08977503E+01,-3807,3650,822
6.09178673E+01,-3836,3666,882
6.09379843E+01,-3819,3666,896
6.09581013E+01,-3833,3652,942
6.09782183E+01,-3838,3660,956
6.09983353E+01,-3830,3664,993
6.10184523E+01,-3840,3664,986
6.10385693E+01,-3822,3642,998
6.10586873E+01,-3842,3664,997
6.10788043E+01,-3857,3646,998
6.10989213E+01,-3856,3639,1017
6.11190383E+01,-3850,3616,1036
6.11391553E+01,-3854,3619,1033
6.11592723E+01,-3856,3620,1055
6.11793893E+01,-3876,3611,1038
6.11995063E+01,-3870,3604,1062
6.12196233E+01,-3868,3611,1062
6.12397403E+01,-3868,3605,1054
6.12598573E+01,-3871,3580,1077
6.12799743E+01,-3859,3585,1064
6.13000913E+01,-3877,3585,1090
6.13202083E+01,-3873,3585,1090
6.13403253E+01,-3873,3579,1078
6.13604423E+01,-3865,3563,1099
6.13805593E+01,-3864,3586,1093
6.14006763E+01,-3885,3597,1082
6.14207933E+01,-3868,3587,1079
6.14409103E+01,-3853,3595,1083
6.14610273E+01,-3849,3599,1068
6.14811443E+01,-3830,3628,1058
6.15012613E+01,-3832,3622,1035
6.15213783E+01,-3831,3628,1002
6.15414953E+01,-3829,3642,927
6.15616123E+01,-3798,3637,893
6.15817303E+01,-3804,3649,801
6.16018473E+01,-3802,3670,764
6.16219643E+01,-3766,3681,701
6.16420813E+01,-3757,3676,658
6.16621983E+01,-3744,3697,582
6.16823153E+01,-3744,3703,533
6.17024324E+01,-3725,3693,471
6.17225494E+01,-3714,3703,422
6.17426664E+01,-3704,3686,345
6.17627834E+01,-3679,3706,305
6.17829004E+01,-3662,3716,231
6.18030174E+01,-3665,3725,189
6.18231344E+01,-3656,3727,125
6.18432514E+01,-3623,3731,64
6.18633684E+01,-3617,3717,-7
6.18834854E+01,-3594,3733,-70
6.19036024E+01,-3570,3720,-137
6.19237194E+01,-3551,3732,-189
6.19438364E+01,-3518,3746,-259
6.19639534E+01,-3515,3772,-310
6.19840704E+01,-3483,3765,-363
6.20041874E+01,-3457,3785,-416
6.20243044E+01,-3435,3784,-471
6.20444224E+01,-3397,3784,-471
6.20645394E+01,-3397,3755,-524
6.20846564E+01,-3389,3778,-589
6.21047734E+01,-3355,3761,-649
6.21248904E+01,-3338,3751,-732
6.21450074E+01,-3298,3762,-789
6.21651244E+01,-3279,3747,-853
6.21852414E+01,-3249,3737,-914
6.22053584E+01,-3232,3745,-1008
6.22254754E+01,-3200,3721,-1065
6.22455924E+01,-3186,3688,-1156
6.22657094E+01,-3144,3668,-1220
6.22858264E+01,-3131,3645,-1312
6.23059434E+01,-3104,3598,-1392
6.23260604E+01,-3096,3535,-1487
6.23461774E+01,-3076,3495,-1565
6.23662944E+01,-3041,3410,-1656
6.23864114E+01,-2998,3383,-1723
6.24065284E+01,-2983,3347,-1814
6.24266454E+01,-2972,3329,-1865
6.24467624E+01,-2940,3279,-1918
6.24668794E+01,-2913,3280,-1972
6.24869974E+01,-2884,3275,-1997
6.25071144E+01,-2846,3250,-2035
6.25272314E+01,-2815,3278,-2079
6.25473484E+01,-2782,3251,-2143
6.25674654E+01,-2762,3237,-2176
6.25875824E+01,-2716,3197,-2242
6.26076994E+01,-2683,3198,-2279
6.26278164E+01,-2665,3183,-2325
6.26479334E+01,-2631,3133,-2380
6.26680504E+01,-2583,3128,-2427
6.26881674E+01,-2528,3097,-2479
6.27082839E+01,-2485,3091,-2528
6.27284009E+01,-2432,3080,-2575
6.27485179E+01,-2382,3076,-2653
6.27686349E+01,-2341,3076,-2653
6.27887519E+01,-2341,3049,-2710
6.28088689E+01,-2268,2997,-2765
6.28289859E+01,-2229,2965,-2819
6.28491029E+01,-2177,2922,-2883
6.28692199E+01,-2115,2908,-2930
6.28893369E+01,-2047,2885,-3001
6.29094549E+01,-2007,2864,-3042
6.29295719E+01,-1944,2868,-3099
6.29496889E+01,-1858,2908,-3152
6.29698059E+01,-1778,2933,-3198
6.29899229E+01,-1711,2936,-3230
6.30100399E+01,-1648,2956,-3264
6.30301569E+01,-1570,2960,-3300
6.30502739E+01,-1507,2982,-3361
6.30703909E+01,-1461,3004,-3378
6.30905079E+01,-1384,2992,-3410
6.31106249E+01,-1329,3008,-3427
6.31307419E+01,-1278,3014,-3466
6.31508589E+01,-1197,3033,-3508
6.31709759E+01,-1141,3060,-3518
6.31910929E+01,-1072,3079,-3552
6.32112099E+01,-1017,3094,-3569
6.32313269E+01,-954,3093,-3574
