source;target;next_n;prev_n;next_e;distance
0;76;1;59;0;0.015491
0;59;1;58;0;0.015072
0;57;1;58;0;0.0151281
0;12;1;10;0;0.016121
0;54;4;56;3;0.013629
0;32;1;31;0;0.0126696
0;75;1;34;0;0.0133483
0;30;1;11;0;0.0131825
0;73;1;72;0;0.0124341
0;74;1;72;0;0.0124638
0;36;4;43;3;0.016428
0;56;4;43;3;0.0125604
0;10;1;11;0;0.0147668
0;43;4;45;3;0.010684
0;55;4;56;3;0.0132267
0;13;4;40;3;0.0103863
0;31;1;34;0;0.0125337
0;35;1;33;0;0.0116537
0;53;1;38;0;0.00882368
0;69;1;16;0;0.00711025
0;37;1;16;0;0.00654342
0;8;4;6;3;0.00635389
0;67;1;16;0;0.00722511
0;7;4;6;3;0.0057122
0;66;1;67;0;0.00854257
0;14;4;19;3;0.00759371
0;47;4;7;3;0.00654986
0;18;1;15;0;0.00655816
0;29;1;37;0;0.00916824
0;1;1;0;0;0.00319044
0;60;1;62;0;0.00919362
0;2;2;0;1;0.0022114
0;61;1;62;0;0.00836309
0;44;4;7;3;0.00886235
0;15;1;1;0;0.00331564
0;3;3;0;2;0.00327963
0;62;1;37;0;0.00794704
0;16;1;15;0;0.00563573
0;4;4;0;3;0.00327891
0;63;1;64;0;0.00847899
0;17;4;20;3;0.00663092
0;5;2;2;1;0.00453831
0;64;1;37;0;0.00813924
0;48;4;7;3;0.00695109
0;19;4;4;3;0.00543557
0;6;4;4;3;0.0055908
0;65;1;64;0;0.00919135
0;9;4;20;3;0.00869298
0;68;1;67;0;0.00752197
0;38;1;1;0;0.00647274
0;49;4;7;3;0.00691384
0;20;4;4;3;0.00649029
0;25;1;18;0;0.008847
0;33;1;18;0;0.00985555
0;21;4;17;3;0.00822225
0;22;4;9;3;0.00882064
0;52;4;49;3;0.008075
0;51;4;48;3;0.00808631
0;70;1;69;0;0.00823804
0;11;1;29;0;0.0115294
0;71;1;69;0;0.0074973
0;50;4;51;3;0.00935798
0;39;1;41;0;0.00929067
0;40;4;21;3;0.0101131
0;72;1;70;0;0.0111059
0;41;1;66;0;0.00883767
0;26;4;22;3;0.0098978
0;27;4;44;3;0.00899556
0;24;1;53;0;0.00897243
0;42;1;41;0;0.0100202
0;23;1;25;0;0.00902172
0;46;4;44;3;0.0117782
0;45;4;27;3;0.0100787
0;28;1;29;0;0.0106268
0;58;1;65;0;0.0144044
0;34;1;60;0;0.0116984
1;76;15;59;121;0.0123006
1;59;15;58;121;0.0118815
1;57;15;58;121;0.0119376
1;51;20;48;124;0.0111593
1;12;15;10;121;0.0129306
1;52;20;49;124;0.011148
1;54;20;56;124;0.0104676
1;32;15;31;121;0.00947921
1;49;20;7;124;0.00998686
1;48;20;7;124;0.0100241
1;47;20;7;124;0.00962289
1;8;20;6;124;0.00942692
1;14;0;19;122;0.0107841
1;50;20;51;124;0.012431
1;75;15;34;121;0.0101578
1;30;15;11;121;0.00999207
1;73;15;72;121;0.00924364
1;74;15;72;121;0.00927331
1;68;15;67;121;0.00433153
1;9;20;20;124;0.00552384
1;71;15;69;121;0.00430686
1;70;15;69;121;0.0050476
1;11;15;29;121;0.00833896
1;22;20;9;124;0.0056515
1;21;20;17;124;0.00505311
1;25;15;18;121;0.00565656
1;64;15;37;121;0.0049488
1;5;0;2;122;0.00772875
1;53;38;38;123;0.00563325
1;33;15;18;121;0.00666512
1;62;15;37;121;0.0047566
1;3;0;0;122;0.00647007
1;4;0;0;122;0.00646935
1;63;15;64;121;0.00528855
1;60;15;62;121;0.00600318
1;15;15;1;121;0.000125201
1;2;0;0;122;0.00540184
1;61;15;62;121;0.00517265
1;29;15;37;121;0.00597781
1;0;0;1;122;0.00319044
1;67;15;16;121;0.00403467
1;38;38;1;123;0.00328231
1;20;20;1;124;0.00332115
1;16;15;15;121;0.00244529
1;17;20;20;124;0.00346178
1;69;15;16;121;0.00391981
1;10;15;11;121;0.0115764
1;18;15;15;121;0.00336772
1;66;15;67;121;0.00535213
1;7;20;6;124;0.00878522
1;37;15;16;121;0.00335299
1;65;15;64;121;0.00600092
1;6;20;9;124;0.00866382
1;72;15;70;121;0.00791542
1;13;20;40;124;0.0072172
1;39;15;41;121;0.00610023
1;40;20;21;124;0.00694392
1;41;15;66;121;0.00564724
1;19;0;4;122;0.00862601
1;44;20;9;124;0.00570094
1;24;38;53;123;0.00578199
1;42;15;41;121;0.00682975
1;26;20;22;124;0.00672866
1;27;20;44;124;0.00583415
1;23;15;25;121;0.00583128
1;46;20;44;124;0.00861678
1;45;20;27;124;0.00691732
1;28;15;29;121;0.00743638
1;58;15;65;121;0.011214
1;34;15;60;121;0.00850798
1;35;15;33;121;0.0084633
1;31;15;34;121;0.00934321
1;55;20;56;124;0.0100653
1;43;20;45;124;0.00752257
1;56;20;43;124;0.00939899
1;36;15;12;121;0.0132431
36;24;12;53;77;0.018935
36;23;12;25;77;0.018824
36;76;12;59;77;0.0188377
36;59;12;58;77;0.0184186
36;57;12;58;77;0.0184747
36;53;12;25;77;0.0187863
36;3;43;0;78;0.0197076
36;25;12;18;77;0.0186492
36;73;12;72;77;0.0175961
36;74;12;72;77;0.0176258
36;33;12;31;77;0.0186528
36;32;12;31;77;0.0160163
36;2;43;19;78;0.0185187
36;31;12;34;77;0.0158803
36;75;12;34;77;0.0166949
36;72;12;70;77;0.0162679
36;6;43;7;78;0.0108372
36;65;12;64;77;0.012538
36;20;12;17;77;0.00994414
36;54;43;56;78;0.00868904
36;9;43;44;78;0.00774271
36;68;12;66;77;0.0113239
36;17;12;21;77;0.00980351
